Character;Frequency
" ";15,546866
e;9,443445
t;6,638041
a;6,559937
i;5,962009
n;5,817495
o;5,697534
r;5,106166
s;5,032389
h;3,494322
l;3,242921
d;2,973725
c;2,588587
u;2,08018
m;1,932966
f;1,656661
p;1,561152
g;1,435191
y;1,197488
w;1,090775
b;1,042668
,;0,999415
.;0,825546
v;0,790876
"""";0,419125
k;0,392675
T;0,31383
1;0,302361
\r;0,291923
\n;0,291923
A;0,284082
S;0,275581
0;0,250756
C;0,243566
I;0,218726
M;0,18359
-;0,176548
x;0,176173
2;0,175957
9;0,169378
B;0,165262
P;0,159993
';0,136279
);0,132084
(;0,131918
H;0,130145
D;0,12078
R;0,118963
E;0,118681
F;0,115162
G;0,110068
L;0,107597
N;0,104004
z;0,097858
W;0,096036
8;0,092497
O;0,083778
5;0,082704
3;0,080164
q;0,077528
4;0,074806
6;0,074477
J;0,07421
7;0,073625
j;0,073163
U;0,067658
K;0,057108
V;0,044649
:;0,043125
";";0,033015
–;0,026794
Y;0,018378
%;0,018101
 ;0,017186
/;0,013045
_;0,013042
Z;0,011112
X;0,009718
Q;0,009052
—;0,00855
é;0,007806
$;0,006399
á;0,00356
&;0,002987
ö;0,002623
>;0,00261
<;0,002442
í;0,002329
=;0,002295
ā;0,00227
ü;0,002237
!;0,002179
+;0,002164
ó;0,002033
?;0,001521
°;0,0015
[;0,001473
ō;0,001462
’;0,001207
è;0,001115
−;0,001059
ä;0,001005
£;0,001002
];0,000972
ł;0,000861
ī;0,000748
#;0,000741
|;0,000727
ç;0,000723
*;0,000715
”;0,000676
“;0,000659
α;0,000627
ñ;0,000612
ū;0,000578
É;0,000549
š;0,000504
ë;0,00049
×;0,000484
ú;0,000453
ć;0,000447
ø;0,00044
€;0,000393
â;0,000389
à;0,000389
Æ;0,000371
β;0,000358
μ;0,000347
ń;0,000347
ð;0,000335
ã;0,000329
ʼ;0,000293
ô;0,000292
~;0,000291
æ;0,000291
č;0,000291
ο;0,00028
{;0,000276
ē;0,000262
σ;0,000256
};0,00025
ν;0,000248
ă;0,000238
å;0,000235
…;0,000234
ı;0,000232
ʻ;0,000229
ρ;0,000229
τ;0,000222
ι;0,000221
ʿ;0,000218
ς;0,000212
λ;0,000211
‘;0,000207
ê;0,000207
ε;0,000206
ï;0,0002
ś;0,000189
Á;0,000186
→;0,000179
ș;0,000179
π;0,000175
ß;0,000175
κ;0,000174
а;0,000171
Š;0,000168
о;0,000162
\;0,000159
±;0,000157
γ;0,000154
Ö;0,000154
ž;0,000148
′;0,000143
ò;0,000134
ğ;0,000133
φ;0,000132
ṇ;0,000132
δ;0,000128
и;0,000128
Ā;0,000127
θ;0,000126
ę;0,000125
е;0,000124
ş;0,000122
Ō;0,00012
ì;0,000119
ḥ;0,000119
ṭ;0,000118
ṣ;0,000117
ω;0,000116
î;0,000116
·;0,000113
Δ;0,000111
н;0,000111
 ;0,000107
Ś;0,000104
ý;0,000104
р;0,000103
ί;0,000101
η;9,6E-05
ą;9,3E-05
½;9,3E-05
•;9,3E-05
İ;9,2E-05
Ç;9,1E-05
ő;8,7E-05
ό;8,3E-05
с;8,2E-05
Å;8,2E-05
ė;8,1E-05
Ó;8,1E-05
Č;8,1E-05
§;7,9E-05
т;7,8E-05
ا;7,7E-05
µ;7,6E-05
≈;7,6E-05
ù;7,5E-05
υ;7,4E-05
ά;7,1E-05
л;6,9E-05
ż;6,8E-05
י;6,7E-05
ḍ;6,6E-05
ř;6,5E-05
^;6,5E-05
к;6,4E-05
ě;6,4E-05
в;6,4E-05
þ;6,3E-05
đ;6,3E-05
ו;6,2E-05
Î;6,1E-05
Ł;6,1E-05
û;6,1E-05
ə;6E-05
Ø;6E-05
ț;6E-05
Ḥ;5,7E-05
Ω;5,6E-05
‑;5,6E-05
ʾ;5,5E-05
ạ;5,5E-05
Đ;5,5E-05
ṃ;5,4E-05
²;5,4E-05
Ž;5,3E-05
≤;5,2E-05
ה;5,2E-05
א;5,1E-05
@;4,9E-05
õ;4,9E-05
`;4,8E-05
⟩;4,8E-05
χ;4,8E-05
ل;4,8E-05
Ü;4,8E-05
Σ;4,8E-05
⟨;4,7E-05
ר;4,7E-05
″;4,6E-05
д;4,4E-05
Þ;4,4E-05
œ;4,4E-05
ύ;4,3E-05
м;4,2E-05
ל;4,2E-05
⋅;4,2E-05
¥;4,1E-05
≥;4,1E-05
ή;4E-05
у;4E-05
Ż;3,9E-05
ấ;3,9E-05
έ;3,8E-05
ת;3,7E-05
я;3,7E-05
ξ;3,6E-05
्;3,6E-05
ŵ;3,6E-05
п;3,6E-05
ṛ;3,6E-05
ː;3,6E-05
‐;3,5E-05
מ;3,5E-05
ṅ;3,4E-05
й;3,4E-05
ệ;3,4E-05
ر;3,4E-05
Â;3,3E-05
Ş;3,3E-05
ψ;3,3E-05
ň;3,2E-05
»;3,2E-05
ב;3,1E-05
م;3,1E-05
ن;3,1E-05
ש;3E-05
г;2,9E-05
ź;2,9E-05
و;2,9E-05
ा;2,8E-05
ب;2,7E-05
ь;2,7E-05
Π;2,6E-05
र;2,6E-05
б;2,6E-05
С;2,6E-05
ư;2,6E-05
 ;2,5E-05
Ä;2,5E-05
ד;2,5E-05
Φ;2,5E-05
≠;2,5E-05
ἀ;2,5E-05
נ;2,5E-05
∞;2,4E-05
ע;2,4E-05
♭;2,4E-05
ζ;2,4E-05
ḷ;2,4E-05
ħ;2,3E-05
з;2,3E-05
≡;2,3E-05
ǎ;2,3E-05
†;2,3E-05
Í;2,3E-05
子;2,3E-05
ʰ;2,2E-05
Α;2,2E-05
¬;2,2E-05
Ú;2,2E-05
ы;2,2E-05
ế;2,2E-05
Λ;2,1E-05
ח;2,1E-05
ơ;2,1E-05
∨;2,1E-05
ي;2E-05
¢;2E-05
د;2E-05
ŏ;2E-05
大;2E-05
ǔ;2E-05
Ε;1,9E-05
ц;1,9E-05
Ṭ;1,9E-05
✱;1,9E-05
́;1,9E-05
َ;1,9E-05
ŭ;1,9E-05
פ;1,9E-05
∗;1,9E-05
כ;1,9E-05
س;1,8E-05
ŋ;1,8E-05
Γ;1,8E-05
«;1,8E-05
̄;1,8E-05
←;1,8E-05
ɛ;1,8E-05
ℓ;1,8E-05
ч;1,7E-05
ם;1,7E-05
ɪ;1,7E-05
ּ;1,7E-05
ġ;1,7E-05
³;1,7E-05
ա;1,7E-05
天;1,6E-05
ɐ;1,6E-05
क;1,6E-05
К;1,6E-05
ی;1,6E-05
¼;1,6E-05
ˈ;1,5E-05
ả;1,5E-05
王;1,5E-05
म;1,5E-05
ḫ;1,5E-05
ǐ;1,5E-05
̪;1,5E-05
Κ;1,5E-05
ਾ;1,5E-05
Ἀ;1,4E-05
Ι;1,4E-05
∧;1,4E-05
ồ;1,4E-05
ņ;1,4E-05
ễ;1,4E-05
ọ;1,4E-05
ʷ;1,4E-05
ῖ;1,4E-05
∈;1,4E-05
‰;1,4E-05
ɔ;1,4E-05
ώ;1,4E-05
ع;1,4E-05
்;1,4E-05
ἰ;1,3E-05
ṯ;1,3E-05
ḗ;1,3E-05
त;1,3E-05
ъ;1,3E-05
ų;1,3E-05
Μ;1,3E-05
न;1,3E-05
 ;1,3E-05
Ș;1,3E-05
Б;1,3E-05
ت;1,3E-05
ῶ;1,2E-05
ه;1,2E-05
原;1,2E-05
ḏ;1,2E-05
ק;1,2E-05
刀;1,2E-05
ἐ;1,2E-05
ि;1,2E-05
Ț;1,2E-05
藤;1,2E-05
∴;1,2E-05
ح;1,2E-05
ਰ;1,2E-05
ָ;1,1E-05
Θ;1,1E-05
º;1,1E-05
∆;1,1E-05
皇;1,1E-05
ẓ;1E-05
ш;1E-05
ס;1E-05
ƒ;1E-05
ן;1E-05
Р;1E-05
ة;1E-05
Г;1E-05
ǫ;1E-05
ն;1E-05
ж;1E-05
ắ;1E-05
Τ;1E-05
ְ;1E-05
₂;1E-05
ր;1E-05
ִ;1E-05
Χ;1E-05
͡;1E-05
À;1E-05
Ν;1E-05
̥;1E-05
ὐ;1E-05
日;1E-05
法;1E-05
ʃ;1E-05
ἄ;9E-06
А;9E-06
ق;9E-06
ʽ;9E-06
ÿ;9E-06
ĕ;9E-06
ج;9E-06
Ī;9E-06
̃;9E-06
स;9E-06
ῆ;9E-06
Œ;9E-06
‒;9E-06
ố;9E-06
三;9E-06
ַ;9E-06
ộ;9E-06
ů;9E-06
ɑ;9E-06
В;9E-06
П;9E-06
Ο;9E-06
ɣ;9E-06
х;9E-06
ز;9E-06
Ṣ;9E-06
И;9E-06
М;9E-06
道;9E-06
ụ;9E-06
ك;8E-06
‡;8E-06
ג;8E-06
ט;8E-06
ḳ;8E-06
ُ;8E-06
ف;8E-06
ა;8E-06
ー;8E-06
צ;8E-06
人;8E-06
ị;8E-06
⊃;8E-06
ĝ;8E-06
太;8E-06
̯;8E-06
व;8E-06
´;8E-06
ِ;8E-06
ո;8E-06
ʊ;8E-06
ậ;8E-06
ầ;8E-06
ਿ;8E-06
ὶ;7E-06
ْ;7E-06
ю;7E-06
ʋ;7E-06
¡;7E-06
ʔ;7E-06
本;7E-06
ĭ;7E-06
Ē;7E-06
ի;7E-06
₹;7E-06
ῦ;7E-06
中;7E-06
♠;7E-06
ĉ;7E-06
山;7E-06
ज;7E-06
Ψ;7E-06
ɨ;7E-06
ờ;7E-06
і;7E-06
ン;7E-06
ܐ;7E-06
♦;7E-06
―;7E-06
，;7E-06
二;7E-06
ữ;7E-06
ு;7E-06
ɾ;7E-06
อ;6E-06
È;6E-06
ṁ;6E-06
ũ;6E-06
ह;6E-06
ი;6E-06
ſ;6E-06
平;6E-06
親;6E-06
ਹ;6E-06
ṓ;6E-06
े;6E-06
Ἰ;6E-06
ֹ;6E-06
ւ;6E-06
⇒;6E-06
ċ;6E-06
ਤ;6E-06
ਸ;6E-06
Д;6E-06
ल;6E-06
÷;6E-06
ش;6E-06
ꜣ;6E-06
द;6E-06
節;6E-06
प;6E-06
ṟ;6E-06
♣;6E-06
ʲ;6E-06
馬;6E-06
Ṛ;6E-06
源;6E-06
ỳ;6E-06
ľ;6E-06
ਦ;6E-06
イ;6E-06
ὰ;6E-06
ु;6E-06
ो;6E-06
О;6E-06
⁠;6E-06
У;6E-06
女;6E-06
五;6E-06
य;6E-06
״;6E-06
ط;6E-06
̀;6E-06
の;6E-06
Υ;6E-06
上;6E-06
ớ;6E-06
Ġ;6E-06
手;6E-06
ứ;6E-06
ਕ;6E-06
ז;6E-06
✸;6E-06
า;6E-06
ท;6E-06
小;5E-06
ḇ;5E-06
Η;5E-06
国;5E-06
北;5E-06
ు;5E-06
ὁ;5E-06
十;5E-06
明;5E-06
∅;5E-06
ّ;5E-06
ķ;5E-06
⁄;5E-06
வ;5E-06
น;5E-06
ʒ;5E-06
ἱ;5E-06
अ;5E-06
Ħ;5E-06
ֵ;5E-06
Β;5E-06
خ;5E-06
Ć;5E-06
行;5E-06
ј;5E-06
‎;5E-06
ध;5E-06
文;5E-06
ǀ;5E-06
武;5E-06
¾;5E-06
ก;5E-06
ร;5E-06
ू;5E-06
த;5E-06
ी;5E-06
เ;5E-06
内;5E-06
一;5E-06
ர;5E-06
ਨ;5E-06
ᾶ;5E-06
ĩ;5E-06
Ñ;5E-06
˹;5E-06
˺;5E-06
士;5E-06
Л;5E-06
ὸ;5E-06
方;5E-06
ǵ;5E-06
ű;5E-06
ե;5E-06
公;5E-06
⊆;5E-06
ὀ;5E-06
أ;5E-06
ť;5E-06
∩;5E-06
이;5E-06
श;5E-06
ง;5E-06
ಿ;5E-06
க;5E-06
ţ;5E-06
ề;5E-06
Ľ;5E-06
ੀ;5E-06
ừ;5E-06
ὴ;4E-06
Т;4E-06
帝;4E-06
ک;4E-06
神;4E-06
ⲓ;4E-06
ꞌ;4E-06
Н;4E-06
入;4E-06
國;4E-06
ɲ;4E-06
石;4E-06
⊕;4E-06
新;4E-06
⅓;4E-06
ト;4E-06
い;4E-06
ਪ;4E-06
ಾ;4E-06
り;4E-06
南;4E-06
西;4E-06
ǧ;4E-06
下;4E-06
į;4E-06
ǁ;4E-06
門;4E-06
ǒ;4E-06
ẹ;4E-06
Ц;4E-06
理;4E-06
氏;4E-06
）;4E-06
金;4E-06
ʁ;4E-06
宮;4E-06
ย;4E-06
ʀ;4E-06
ở;4E-06
Ρ;4E-06
か;4E-06
च;4E-06
대;4E-06
ष;4E-06
ἡ;4E-06
Ḳ;4E-06
♥;4E-06
ḱ;4E-06
ḡ;4E-06
重;4E-06
∂;4E-06
щ;4E-06
∪;4E-06
白;4E-06
治;4E-06
ி;4E-06
ܝ;4E-06
《;4E-06
》;4E-06
ರ;4E-06
院;4E-06
ん;4E-06
ე;4E-06
რ;4E-06
ನ;4E-06
ग;4E-06
₱;4E-06
た;4E-06
మ;4E-06
ా;4E-06
な;4E-06
‿;4E-06
ḵ;4E-06
ך;4E-06
ม;4E-06
ర;4E-06
諸;4E-06
之;4E-06
ф;4E-06
⅔;4E-06
ǝ;4E-06
ղ;4E-06
Ч;4E-06
͟;4E-06
Е;4E-06
高;4E-06
ׁ;4E-06
사;4E-06
ɡ;4E-06
್;4E-06
娘;4E-06
－;4E-06
ს;4E-06
ว;4E-06
炮;4E-06
ਲ;4E-06
ੁ;4E-06
׳;4E-06
Ì;4E-06
ʈ;4E-06
ಕ;4E-06
إ;3E-06
↓;3E-06
Ẓ;3E-06
安;3E-06
⊂;3E-06
్;3E-06
元;3E-06
̂;3E-06
ⲁ;3E-06
♯;3E-06
™;3E-06
是;3E-06
э;3E-06
ȝ;3E-06
生;3E-06
˚;3E-06
仁;3E-06
ổ;3E-06
ἑ;3E-06
と;3E-06
ļ;3E-06
ܡ;3E-06
ủ;3E-06
ம;3E-06
ਵ;3E-06
ੰ;3E-06
ặ;3E-06
ء;3E-06
Ḍ;3E-06
る;3E-06
東;3E-06
家;3E-06
⊥;3E-06
和;3E-06
Ḫ;3E-06
龍;3E-06
ϝ;3E-06
八;3E-06
կ;3E-06
տ;3E-06
¶;3E-06
ŷ;3E-06
七;3E-06
‍;3E-06
タ;3E-06
기;3E-06
物;3E-06
部;3E-06
자;3E-06
₁;3E-06
ď;3E-06
九;3E-06
ラ;3E-06
ὑ;3E-06
√;3E-06
義;3E-06
ட;3E-06
ய;3E-06
ழ;3E-06
ੈ;3E-06
・;3E-06
剣;3E-06
ẩ;3E-06
ッ;3E-06
︎;3E-06
ẽ;3E-06
‛;3E-06
ప;3E-06
心;3E-06
आ;3E-06
բ;3E-06
¹;3E-06
ģ;3E-06
月;3E-06
阿;3E-06
Я;3E-06
ˀ;3E-06
宗;3E-06
通;3E-06
្;3E-06
不;3E-06
І;3E-06
ं;3E-06
正;3E-06
う;3E-06
ϛ;3E-06
ŝ;3E-06
̆;3E-06
ञ;3E-06
頓;3E-06
野;3E-06
臣;3E-06
江;3E-06
ϕ;3E-06
は;3E-06
მ;3E-06
ข;3E-06
ை;3E-06
要;3E-06
ḻ;3E-06
ण;3E-06
ੇ;3E-06
₴;3E-06
ʕ;2E-06
주;2E-06
Ξ;2E-06
学;2E-06
ׂ;2E-06
ΐ;2E-06
ア;2E-06
ル;2E-06
ェ;2E-06
青;2E-06
☆;2E-06
∃;2E-06
ἔ;2E-06
無;2E-06
し;2E-06
憲;2E-06
ῥ;2E-06
陽;2E-06
毛;2E-06
陵;2E-06
ἕ;2E-06
ѣ;2E-06
四;2E-06
공;2E-06
ợ;2E-06
ỏ;2E-06
ὄ;2E-06
រ;2E-06
‌;2E-06
ス;2E-06
­;2E-06
星;2E-06
ȳ;2E-06
ุ;2E-06
書;2E-06
民;2E-06
洋;2E-06
ǃ;2E-06
オ;2E-06
兵;2E-06
ܢ;2E-06
ड;2E-06
ܘ;2E-06
橘;2E-06
ǣ;2E-06
地;2E-06
ク;2E-06
უ;2E-06
☉;2E-06
ன;2E-06
棋;2E-06
ɭ;2E-06
ਅ;2E-06
字;2E-06
भ;2E-06
史;2E-06
라;2E-06
장;2E-06
将;2E-06
ɹ;2E-06
ไ;2E-06
①;2E-06
ั;2E-06
พ;2E-06
З;2E-06
₩;2E-06
수;2E-06
け;2E-06
⋯;2E-06
京;2E-06
∘;2E-06
↑;2E-06
క;2E-06
∀;2E-06
식;2E-06
ս;2E-06
پ;2E-06
®;2E-06
ἴ;2E-06
李;2E-06
Ж;2E-06
經;2E-06
ত;2E-06
া;2E-06
務;2E-06
主;2E-06
軍;2E-06
Ὀ;2E-06
記;2E-06
傳;2E-06
香;2E-06
지;2E-06
̲;2E-06
ʱ;2E-06
동;2E-06
世;2E-06
貞;2E-06
ɦ;2E-06
的;2E-06
令;2E-06
ῷ;2E-06
ო;2E-06
⫽;2E-06
ɬ;2E-06
台;2E-06
ℝ;2E-06
΄;2E-06
★;2E-06
ɯ;2E-06
ṉ;2E-06
ʹ;2E-06
头;2E-06
頭;2E-06
ต;2E-06
ĵ;2E-06
ヤ;2E-06
ܬ;2E-06
田;2E-06
姫;2E-06
志;2E-06
後;2E-06
　;2E-06
忠;2E-06
თ;2E-06
Ἑ;2E-06
̓;2E-06
ਭ;2E-06
੍;2E-06
ਗ;2E-06
ਜ;2E-06
あ;2E-06
を;2E-06
じ;2E-06
づ;2E-06
་;2E-06
酒;2E-06
한;2E-06
복;2E-06
俠;2E-06
่;2E-06
้;2E-06
ล;2E-06
ɳ;2E-06
⇗;2E-06
ల;2E-06
ం;2E-06
న;2E-06
キ;2E-06
Ò;2E-06
陰;2E-06
